X,Y,OBJECTID,NAME_OF_DISTRICT_COUNCIL_DISTRI,LOCATION_EN,ADDRESS_EN,NAME_OF_DISTRICT_COUNCIL_DIST_1,LOCATION_TC,ADDRESS_TC,NAME_OF_DISTRICT_COUNCIL_DIST_2,LOCATION_SC,ADDRESS_SC,STANDARD_BS1363_no,MEDIUM_IEC62196_no,MEDIUM_SAEJ1772_no,MEDIUM_OTHERS_no,QUICK_CHAdeMO_no,QUICK_CCS_DC_COMBO_no,QUICK_IEC62196_no,QUICK_GB_T20234_3_DC__no,QUICK_OTHERS_no,REMARK_FOR__OTHERS_,DATA_PATH
12707057.4238178,2544037.33376202,1,Central & Western,The Peak Galleria,"118 Peak Rd, The Peak",中西區,山頂廣場,山頂道118號,中西区,山顶广场,山顶道118号,0,6,0,0,0,0,0,0,0,Tesla Wall Connector,-
12707637.7323234,2545250.40968911,2,Central & Western,The Centrium,"60 Wyndham Street, Central",中西區,中央廣場,中環雲咸街60號,中西区,中央广场,中环云咸街60号,2,2,0,0,0,0,0,0,0,-,-
12708373.5541575,2545013.89873259,3,Central & Western,Three Garden Road Carpark,GARDEN ROAD,中西區,花園道三號停車場,花園道,中西区,花园道三号停车场,花园道,3,20,0,2,0,0,0,0,0,-,-
12707891.7634013,2545214.80050236,4,Central & Western,NEW WORLD TOWER,"QUEEN'S ROAD CENTRAL, CENTRAL & WESTERN",中西區,新世界大廈,中西區 皇后大道中,中西区,新世界大厦,中西区 皇后大道中,1,8,0,0,0,4,0,0,0,-,-
12708282.0495361,2545507.37551458,5,Central & Western,Star Ferry Car Park,"9 Edinburgh Place, Central, Hong Kong",中西區,天星停車場,香港中環愛丁堡廣場9號,中西区,天星停车场,香港中环爱丁堡广场9号,0,35,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json
12708471.2926704,2545405.83985977,6,Central & Western,City Hall Car Park,"1 Edinburgh Place, Central, Hong Kong",中西區,大會堂停車場,香港中環愛丁堡廣場1號,中西区,大会堂停车场,香港中环爱丁堡广场1号,0,30,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json
12707479.102049,2546067.15595234,7,Central & Western,Rumsey Street Car Park,"2 Rumsey Street, Sheung Wan, Hong Kong",中西區,林士街停車場,香港上環林士街2號,中西区,林士街停车场,香港上环林士街2号,0,110,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json
12708665.7678208,2544901.77974602,8,Central & Western,Queensway Government Offices,"No. 66 Queensway, Hong kong",中西區,金鐘道政府合署,香港金鐘道66號,中西区,金钟道政府合署,香港金钟道66号,0,48,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json
12707899.1104877,2545832.07717871,9,Central & Western,One International Finance Centre,"1 Harbour View St, Central",中西區,國際金融中心一期,中環港景街1號,中西区,国际金融中心一期,中环港景街1号,0,1,0,0,0,0,0,0,0,-,-
12707981.3755914,2545882.6056041,10,Central & Western,TWO IFC (International Finance Centre) - IFC II,"FINANCE STREET, CENTRAL & WESTERN",中西區,國際金融中心二期,中西區 金融街,中西区,国际金融中心二期,中西区 金融街,0,21,0,0,3,3,3,0,3,-,-
12708832.1904596,2544891.31374142,11,Central & Western,Pacific Place,"88 Queensway, Hong Kong",中西區,太古廣場,香港金鐘道88號,中西区,太古广场,香港金钟道88号,0,14,0,0,0,5,2,0,4,-,-
12709100.5817519,2544795.55611648,12,Wan Chai,Three Pacific Place,Wing Fung Street.,灣仔區,太古廣場三座,永豐街,湾仔区,太古广场三座,永丰街,0,7,0,0,0,0,2,0,0,-,-
12707455.2796779,2545968.74488881,13,Central & Western,WING ON CENTRE,"CONNAUGHT ROAD CENTRAL, CENTRAL & WESTERN",中西區,永安中心,中西區 干諾道中,中西区,永安中心,中西区 干诺道中,0,0,0,2,0,4,0,0,0,Tesla Wall Connector,-
12708246.20466,2545080.54492202,14,Central & Western,Cheung Kong Center Car Park,"2 Queen's Road Central, Hong Kong",中西區,長江集團中心停車場,香港中環皇后大道中2號,中西区,长江集团中心停车场,香港中环皇后大道中2号,0,2,0,0,0,0,0,0,0,-,-
12709030.2278337,2545251.85330637,15,Central & Western,CITIC TOWER,"TIM MEI AVENUE, CENTRAL & WESTERN",中西區,中信大廈,中西區 添美道,中西区,中信大厦,中西区 添美道,0,0,0,0,0,0,0,0,3,Tesla Wall Connector,-
12706269.504462,2546160.15373353,16,Central & Western,Island Pacific Hotel,"14, Centre Street",中西區,港島太平洋酒店,西營盤正街14號,中西区,港岛太平洋酒店,西营盘正街14号,0,0,0,2,0,0,0,0,0,Tesla Wall Connector,-
12707219.171038,2545629.48377849,17,Central & Western,CENTRESTAGE,"HOLLYWOOD ROAD, CENTRAL & WESTERN",中西區,聚賢居,中西區 荷李活道,中西区,聚贤居,中西区 荷李活道,0,0,0,6,0,0,0,0,0,Tesla Wall Connector,-
12704726.8389586,2545163.67257887,18,Central & Western,Kwun Lun Lau,"20 Lung Wah St, Kennedy Town",中西區,觀龍樓,堅尼地城龍華街20號,中西区,观龙楼,坚尼地城龙华街20号,0,1,0,0,0,0,0,0,0,-,-
12706402.197295,2546354.57248989,19,Central & Western,Sun Yat Sen Memorial Park Sports Centre,"18,Eastern Street North,Sai Ying Pun,Hong Kong ",中西區,中山紀念公園體育館,香港島西營盤東邊街北18號 ,中西区,中山纪念公园体育馆,香港岛西营盘东边街北18号,0,6,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json
12706504.1659486,2546317.75787464,20,Central & Western,Sun Yat Sen Memorial Park,"16 Eastern Street North, Sai Ying Pun, Hong Kong",中西區,中山紀念公園,西營盤東邊街北16號,中西区,中山纪念公园,西营盘东边街北16号,0,12,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json
12708712.744646,2544831.40501275,21,Yau Tsim Mong,ISLAND SHANGRI-LA HOTEL,"QUEENSWAY, CENTRAL & WESTERN",油尖旺區,港島香格里拉大酒店,中西區 金鐘道,油尖旺区,港岛香格里拉大酒店,中西区 金钟道,0,0,0,0,0,0,0,0,1,Tesla Wall Connector,-
12704779.7157167,2545391.28325807,22,Central & Western,Kennedy Town Car Park,"12 Rock Hill Street, Kennedy Town, Hong Kong",中西區,堅尼地城停車場,香港堅尼地城石山街12號,中西区,坚尼地城停车场,香港坚尼地城石山街12号,0,59,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json
12707643.2982979,2545729.81773464,23,Central & Western,THE CENTER,"QUEEN'S ROAD CENTRAL, CENTRAL & WESTERN",中西區,中環中心,中西區 皇后大道中,中西区,中环中心,中西区 皇后大道中,0,6,0,0,0,0,0,0,0,-,-
12707804.2662816,2545615.76911155,24,Central & Western,MAN YEE BUILDING,"DES VOEUX ROAD CENTRAL, CENTRAL & WESTERN",中西區,萬宜大廈,中西區 德輔道中,中西区,万宜大厦,中西区 德辅道中,0,2,0,0,0,0,2,0,0,-,-
12707560.9218747,2543733.59728099,25,Central & Western,Cloudlands,"35-37 Plantation Rd, The Peak",中西區,雲嶺山莊,山頂種植道35-37號,中西区,云岭山庄,山顶种植道35-37号,0,4,0,0,0,0,0,0,0,-,-
12708885.1785372,2544984.90651959,26,Central & Western,Admiralty Car Park,"Rodney Street, Queensway, Admiralty",中西區,金鐘停車場,金鐘樂禮街,中西区,金钟停车场,金钟乐礼街,0,11,0,0,1,1,0,0,0,-,-
12707220.0615939,2545592.06923102,27,Central & Western,Grandview Garden Soho  ,"Grandview Garden Block 1, 18 Bridges St, Tai Ping Shan",中西區,雍翠臺 蘇豪,太平山必列者士街18號,中西区,雍翠台 苏豪,太平山必列者士街18号,0,0,0,0,0,0,0,0,4,Tesla Supercharger,-
12707323.4774008,2546130.67831384,28,Central & Western,SHUN TAK CENTRE,"CONNAUGHT ROAD CENTRAL, CENTRAL & WESTERN",中西區,信德中心,中西區 干諾道中,中西区,信德中心,中西区 干诺道中,0,0,0,6,0,0,0,0,10,Tesla Supercharger,-
12705299.9116972,2545683.62073084,29,Central & Western,The Westwood,"The Westwood, Belcher's St, Kennedy Town",中西區,西寶城,"卑路乍街, 堅尼地城",中西区,西宝城,"卑路乍街, 坚尼地城",0,0,0,9,0,0,0,0,4,Tesla Supercharger,-
12707764.0799454,2544696.19011201,30,Central & Western,Two MacDonnell Road,Two MacDonnell Road,中西區,麥當勞道2號,香港半山麥當勞道2號,中西区,麦当劳道2号,香港半山麦当劳道2号,0,2,0,0,0,2,0,0,0,-,-
12708519.9392879,2545313.56806047,31,Central & Western,CHEUNG KONG CENTER II,"Hutchison House, 10 Harcourt Rd, Central",中西區,長江集團中心二期,中環夏愨道10號和記大廈,中西区,长江集团中心二期,中环夏悫道10号和记大厦,0,4,0,0,0,0,0,0,0,-,-
12714616.7964791,2545982.58015024,32,Eastern,Cityplaza Carpark,"Cityplaza, 18 Taikoo Shing Road, Tai Koo Shing, Hong Kong",東區,太古城中心停車場,香港太古城太古城道18號太古城中心,东区,太古城中心停车场,香港太古城太古城道18号太古城中心,0,30,0,0,0,6,0,0,0,-,-
12711769.2439047,2545972.23377975,33,Wan Chai,Electric Road 148,"148 Electric Road, North Point",灣仔區,電氣道148號,北角電氣道148號,湾仔区,电气道148号,北角电气道148号,2,0,0,0,0,0,0,0,0,-,-
12717455.2208554,2543667.43758638,34,Eastern,Cornell Centre,"50 Wing Tai Road, Chai Wan, Hong Kong",東區,港利中心,香港柴灣永泰道50號,东区,港利中心,香港柴湾永泰道50号,1,0,0,0,0,0,0,0,0,-,-
12713761.8627899,2546436.02210479,35,Eastern,Kerry Centre,"KING'S ROAD, EASTERN",東區,嘉里中心,東區 英皇道,东区,嘉里中心,东区 英皇道,0,4,0,0,0,0,0,0,0,-,-
12718351.6767147,2543531.99145911,36,Eastern,Island Resort,"28 Siu Sai Wan Road, Chai Wan",東區,藍灣半島,柴灣小西灣道28號,东区,蓝湾半岛,柴湾小西湾道28号,4,0,0,3,0,0,0,0,3,-,-
12714189.663593,2546036.95885327,37,Eastern,Oxford House,"979 King's Road, Quarry Bay, Hong Kong",東區,濠豐大廈,香港鰂魚涌太古坊英皇道979號,东区,濠丰大厦,香港鲗鱼涌太古坊英皇道979号,2,0,0,0,0,0,0,0,0,-,-
12714021.6824814,2546028.89828221,38,Eastern,Dorset House and PCCW Tower,"979 King's Road, Quarry Bay, Hong Kong",東區,多盛大廈及電訊盈科中心,香港鰂魚涌太古坊英皇道979號,东区,多盛大厦及电讯盈科中心,香港鲗鱼涌太古坊英皇道979号,2,0,0,0,0,0,3,0,0,-,-
12714135.1170425,2545957.79699435,39,Eastern,One Island East,"18 Westlands Rd, Quarry Bay",東區,港島東中心,鰂魚涌華蘭路18號,东区,港岛东中心,鲗鱼涌华兰路18号,1,0,0,0,0,0,0,0,0,-,-
12714583.5119514,2545692.1623548,40,Eastern,Kornhill Plaza (south),Hong On Street,東區,康怡廣場 (南),康安街,东区,康怡广场 (南),康安街,0,0,0,0,0,0,0,0,1,Tesla Wall Connector,-
12714508.1486561,2545656.55223288,41,Eastern,Kornhill Plaza,"2 Kornhill Road, Quarry Bay, Hong Kong",東區,康怡廣場,康山道2號 鰂魚涌,东区,康怡广场,康山道2号 鲗鱼涌,0,5,0,0,0,4,0,0,0,-,-
12716617.7643262,2543414.70994694,42,Eastern,Trend Centre,"CHEUNG LEE STREET, EASTERN",東區,國貿中心,東區 祥利街,东区,国贸中心,东区 祥利街,1,0,0,0,0,0,0,0,0,-,-
12713617.1474518,2546658.83754281,43,Eastern,North Point Government Offices,"No. 333 Java Road, North Point, Hong Kong",東區,北角政府合署,香港北角渣華道333號,东区,北角政府合署,香港北角渣华道333号,0,29,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json
12715975.7848227,2545019.91372079,44,Eastern,Shau Kei Wan Car Park,1 Po Man Street,東區,筲箕灣停車場,寶文街1號,东区,筲箕湾停车场,宝文街1号,0,116,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json
12717015.8428252,2544935.46348321,45,Eastern,Paradise Mall Carpark,"100 SHING TAI ROAD, Eastern District, Hong Kong",東區,杏花新城停車場,香港 東區 盛泰道100號,东区,杏花新城停车场,香港 东区 盛泰道100号,0,2,0,0,0,0,5,0,2,-,-
12712009.3600463,2545033.50760206,46,Wan Chai,Lai Tak Tsuen,"LAI TAK TSUEN ROAD, EASTERN",灣仔區,勵德邨,東區 勵德邨道,湾仔区,励德邨,东区 励德邨道,0,2,0,0,0,0,0,0,0,-,-
12716544.7387402,2543150.5588876,47,Eastern,Hing Wah Plaza,"11 Wan Tsui Rd, Chai Wan",東區,興華廣場,柴灣環翠道11號,东区,兴华广场,柴湾环翠道11号,0,12,0,0,0,4,0,0,0,-,-
12714047.5086032,2546100.60140822,48,Eastern,Lincoln House,"979 King's Road, Quarry Bay, Hong Kong",東區,林肯大廈,香港鰂魚涌太古坊英皇道979號,东区,林肯大厦,香港鲗鱼涌太古坊英皇道979号,0,0,0,0,0,0,0,0,4,Tesla Supercharger,-
12714167.5110143,2546087.84881648,49,Eastern,Berkshire House,"25 Westlands Road, Quarry Bay, Hong Kong",東區,柏克大廈,香港鰂魚涌華蘭路25號,东区,柏克大厦,香港鲗鱼涌华兰路25号,0,7,0,0,0,0,0,0,0,-,-
12713055.2066623,2546558.61835464,50,Eastern,HEALTHY GARDENS,"KING'S ROAD, EASTERN",東區,健威花園,東區 英皇道,东区,健威花园,东区 英皇道,0,0,0,18,0,0,0,0,0,Tesla Wall Connector,-
12712002.7921963,2546385.61232614,51,Eastern,City Garden Hotel,Power Street,東區,城市花園酒店,北角大強街,东区,城市花园酒店,北角大强街,0,0,0,0,0,0,0,0,1,Tesla Wall Connector,-
12715610.1002955,2544939.6739551,52,Eastern,Smiling Shau Kei Wan Plaza,"17, Nam On St, Shau Kei Wan",東區,天悅筲箕灣廣場,筲箕灣南安街17號,东区,天悦筲箕湾广场,筲箕湾南安街17号,0,0,0,0,0,0,6,0,0,-,-
12718307.7055159,2543222.24974891,53,Eastern,Cheerful Garden,Fu Yee Rd,東區,富怡花園,小西灣富怡道,东区,富怡花园,小西湾富怡道,0,1,0,0,0,0,1,0,0,-,-
12711773.6966843,2546219.8265781,54,Eastern,Harbour Grand Hong Kong,"18 King Wah Rd, North Point",東區,港島海逸君綽酒店,北角京華道18號,东区,港岛海逸君绰酒店,北角京华道18号,0,0,0,0,0,0,2,0,0,-,-
12715410.0591705,2545821.7309008,55,Eastern,Grand Promenade,"38 Tai Hong Street, Sai Wan Ho",東區,嘉亨灣,西灣河太康街38號,东区,嘉亨湾,西湾河太康街38号,0,3,0,0,0,0,0,0,0,-,-
12714218.8292996,2545831.71626193,56,Eastern,King's Road 1063,"16 Shipyard Ln, Quarry Bay",東區,英皇道1063號,鰂魚涌船塢里16號,东区,英皇道1063号,鲗鱼涌船坞里16号,0,4,0,0,0,0,0,0,0,-,-
12713519.9655364,2546525.41260891,57,Eastern,K11 ATELIER KING'S ROAD,728 KING'S ROAD,東區,K11 ATELIER KING'S ROAD,英皇道728號,东区,K11 ATELIER KING'S ROAD,英皇道728号,0,2,0,5,0,2,0,0,4,Tesla Supercharger,-
12712812.0848944,2546363.71600159,58,Eastern,The Tanner Hill,"TANNER ROAD, EASTERN",東區,雋悅,東區 丹拿道,东区,隽悦,东区 丹拿道,0,1,0,0,0,0,0,0,0,-,-
12715709.0633228,2544953.50837016,59,Eastern,Harmony Place,NAM ON STREET,東區,樂融軒,東區 南安街,东区,乐融轩,东区 南安街,0,19,0,0,0,0,0,0,0,-,-
12716339.0203212,2543713.62905485,60,Eastern,HING MAN ESTATE,"HING MAN STREET, EASTERN",東區,興民邨,東區 興民街,东区,兴民邨,东区 兴民街,0,0,0,0,0,0,0,0,2,Tesla Wall Connector,-
12718018.9427568,2543673.45209333,61,Eastern,Siu Sai Wan Sports Ground,"8 Fu Hong Street, Siu Sai Wan",東區,小西灣運動場停車場,小西灣富康街8號,东区,小西湾运动场停车场,小西湾富康街8号,0,15,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json
12715174.8410865,2545761.81885853,62,Eastern,Island East Sports Center,"52 Lei King Road, Sai Wan Ho, Hong Kong",東區,港島東體育館停車場,香港西灣河鯉景道52號,东区,港岛东体育馆停车场,香港西湾河鲤景道52号,0,19,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json
12713009.3430321,2546477.52907653,63,Eastern,Island Place,"60-36 Tanner Rd, North Point",東區,港運城,北角丹拿道60-36號,东区,港运城,北角丹拿道60-36号,0,6,0,0,0,0,0,0,0,-,-
12714920.2534111,2545234.89081129,64,Eastern,Hing Tung Car Park,"Hing Tung Shopping Centre, 55 Yiu Hing Road, Shau Kei Wan, Hong Kong",東區,興東停車場,香港筲箕灣耀興道55號興東商場,东区,兴东停车场,香港筲箕湾耀兴道55号兴东商场,0,45,0,0,0,0,0,0,0,-,-
12712435.713696,2546266.746907,65,Eastern,Carrus Customs,"15, Ching Wah St, North Point",東區,Carrus Customs,北角清華街15號,东区,Carrus Customs,北角清华街15号,0,1,0,0,0,0,0,0,0,-,-
12716583.255284,2543886.84819065,66,Eastern,Pamela Youde Nethersole Eastern Hospital Visitor Car Park,"3 LOK MAN ROAD, CHAI WAN, HONG KONG",東區,東區尤德夫人那打素醫院訪客停車場,香港柴灣樂民道3號,东区,东区尤德夫人那打素医院访客停车场,香港柴湾乐民道3号,0,1,0,0,0,0,0,0,0,-,-
12713971.8113495,2545985.82843066,67,Eastern,Two Taikoo Place,"53A Pan Hoi St, Quarry Bay",東區,太古坊二座,鰂魚涌濱海街53A號,东区,太古坊二座,鲗鱼涌滨海街53A号,0,18,0,6,0,0,0,0,3,Tesla Wall Connector / Supercharger,-
12716785.3001598,2542997.19439564,68,Eastern,Wan Tsui Car Park,"Wan Tsui Commercial Complex, 2 Wah Ha Street, Chai Wan, Hong Kong",東區,環翠停車場,香港柴灣華廈街2號環翠商場,东区,环翠停车场,香港柴湾华厦街2号环翠商场,0,36,0,0,0,0,0,0,0,-,-
12713917.04216,2546040.80867962,69,Eastern,Devon House,"979 King's Road, Quarry Bay, Hong Kong",東區,德宏大廈,香港鰂魚涌太古坊英皇道979號,东区,德宏大厦,香港鲗鱼涌太古坊英皇道979号,0,10,0,0,0,0,0,0,0,-,-
12713379.5916585,2546551.27939794,70,Eastern,Healthy Village I & II,"192 Tsat Tsz Mui Rd, Tsat Tsz Mui",東區,健康村 I & II,北角七姊妹道 192號,东区,健康村 I & II,北角七姊妹道 192号,0,2,0,0,0,0,0,0,0,-,-
12716148.8866309,2544722.05408816,71,Eastern,Ming Wah Dai Ha,"1 A Kung Ngam Rd, Shau Kei Wan",東區,明華大廈,筲箕灣阿公岩道1號,东区,明华大厦,筲箕湾阿公岩道1号,0,21,0,0,0,0,0,0,0,-,-
12715372.7671411,2545270.98124688,72,Eastern,Marina House,"32 Hoi An St, Shau Kei Wan",東區,海天廣場,32 海晏街,东区,海天广场,32 海晏街,1,0,0,0,0,0,0,0,0,-,-
12717558.4140234,2543405.68832601,73,Eastern,DIP TSUI COURT,388 CHAI WAN ROAD,東區,蝶翠苑,柴灣柴灣道388號,东区,蝶翠苑,柴湾柴湾道388号,3,0,0,0,0,0,0,0,0,-,-
12717352.2503264,2543677.3013789,74,Eastern,HANG TSUI COURT,"TSUI WAN STREET, EASTERN",東區,杏翠苑,東區 翠灣街,东区,杏翠苑,东区 翠湾街,3,1,0,0,0,0,0,0,0,-,-
12717047.6801996,2543384.99876025,75,Eastern,YEE TSUI COURT,"YEE SHUN STREET, EASTERN",東區,怡翠苑,東區 怡順街,东区,怡翠苑,东区 怡顺街,2,1,0,0,0,0,0,0,0,-,-
12715309.7603093,2544851.61516243,76,Eastern,Yiu Tung Shopping Centre Car Park,"Yiu Tung Shopping Centre, 12 Yiu Hing Road, Shau Kei Wan, Hong Kong",東區,耀東商場停車場,香港筲箕灣耀興道12號耀東商場,东区,耀东商场停车场,香港筲箕湾耀兴道12号耀东商场,0,2,0,0,0,0,0,0,0,-,-
12711857.4089414,2546196.00553814,77,Eastern,AIA TOWER,"183 Electric Road, North Point",東區,友邦廣場,北角電氣道183號,东区,友邦广场,北角电气道183号,0,15,0,0,0,2,0,0,0,-,-
12712758.0949414,2546705.39816119,78,Eastern,HARBOUR NORTH,123 JAVA ROAD,東區,北角匯,北角渣華道123號,东区,北角汇,北角渣华道123号,0,0,0,0,0,2,0,0,0,-,-
12713118.658772,2546149.8072538,79,Eastern,Pacific Palisades,"1 Braemar Hill Rd, North Point",東區,寶馬山花園,北角寶馬山道1號,东区,宝马山花园,北角宝马山道1号,0,15,0,0,0,2,0,0,0,-,-
12718098.3135537,2543113.27013748,80,Eastern,Siu Sai Wan Phase 1 Car Park,"Siu Sai Wan Plaza, 10 Siu Sai Wan Road, Siu Sai Wan, Hong Kong",東區,小西灣一期停車場,香港小西灣小西灣道10號小西灣廣場,东区,小西湾一期停车场,香港小西湾小西湾道10号小西湾广场,0,12,0,0,0,0,0,0,0,-,-
12704912.5198692,2543019.80805252,81,Southern,Cyberport Carpark 1 & 2,"100 Cyberport Rd, Telegraph Bay, Southern District",南區,數碼港停車場(一&二),南區鋼綫灣數碼港道100號,南区,数码港停车场(一&二),南区钢线湾数码港道100号,0,0,0,3,0,0,0,0,9,-,-
12705081.9481342,2542721.50268066,82,Southern,Cyberport Carpark 3,"100 Cyberport Rd, Telegraph Bay, Southern District",南區,數碼港停車場(三),南區鋼綫灣數碼港道100號,南区,数码港停车场(三),南区钢线湾数码港道100号,0,0,0,6,0,0,2,0,9,-,-
12713676.5920599,2537999.11825077,83,Southern,Stanley Plaza Car Park,"Stanley Plaza, 23 Carmel Road, Stanley, Hong Kong",南區,赤柱廣場停車場,香港赤柱佳美道23號赤柱廣場,南区,赤柱广场停车场,香港赤柱佳美道23号赤柱广场,0,28,0,0,0,6,0,0,0,-,-
12712494.4903872,2539818.59370648,84,Southern,The Pulse,"BEACH ROAD, SOUTHERN",南區,The Pulse,南區 海灘道,南区,The Pulse,南区 海滩道,0,1,0,0,0,1,0,0,6,-,-
12709122.2890526,2541568.7464282,85,Southern,L'hotel Island South,11 Tong Bin Ln,南區,如心南灣海景酒店,黃竹坑塘邊徑11號,南区,如心南湾海景酒店,黄竹坑塘边径11号,0,0,0,2,0,0,0,0,0,Tesla Wall Connector,-
12709210.7880478,2541428.86703796,86,Southern,One Island South,"HEUNG YIP ROAD, SOUTHERN",南區,One Island South,南區 香葉道,南区,One Island South,南区 香叶道,2,0,0,0,0,0,0,0,0,-,-
12709867.4617239,2541352.61341415,87,Southern,OCEAN PARK,"180 WONG CHUK HANG ROAD, Southern District, Hong Kong",南區,香港海洋公園,香港 南區 黃竹坑道180號,南区,香港海洋公园,香港 南区 黄竹坑道180号,0,1,0,0,0,0,0,0,0,-,-
12705277.870438,2543008.14036406,88,Southern,Upper Baguio Villa,"Victoria Rd, Pok Fu Lam",南區,上碧瑤灣,薄扶林域多利道,南区,上碧瑶湾,薄扶林域多利道,0,0,0,2,0,0,0,0,0,Tesla Wall Connector,-
12707058.0917348,2541641.75358763,89,Southern,TIN WAN ESTATE CAR PARK,"TIN WAN STREET, SOUTHERN",南區,田灣邨多層停車場,南區 田灣街,南区,田湾邨多层停车场,南区 田湾街,0,0,0,4,0,0,0,0,0,Tesla Wall Connector,-
12705889.9049984,2542528.93012477,90,Southern,Chi Fu Landmark,Chi Fu Road,南區,置富南區廣場,薄扶林置富道,南区,置富南区广场,薄扶林置富道,2,0,0,0,0,0,2,0,0,-,-
12707713.6522161,2540952.70849931,91,Southern,Ap Lei Chau Waterfront Promenade,"No.8 Hung Shing Street, Ap Lei Chau, Hong Kong.",南區,鴨脷洲海濱長廊,鴨脷洲洪聖街8號,南区,鸭脷洲海滨长廊,鸭脷洲洪圣街8号,0,6,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json
12707724.8954846,2541406.37579126,92,Southern,KAM FUNG BUILDING,"ABERDEEN MAIN ROAD, SOUTHERN",南區,金豐大廈,南區 香港仔大道,南区,金丰大厦,南区 香港仔大道,0,2,0,0,0,0,0,0,0,-,-
12711396.3236105,2540892.81378352,93,Southern,Deep Water Bay Carpark,"Island Road, Deep Water Bay",南區,深水灣泳灘停車場,深水灣香島道,南区,深水湾泳滩停车场,深水湾香岛道,0,3,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json
12705112.2270357,2542515.33826618,94,Southern,Bel-Air (Phase 1 & 2),"Residence Bel-air Club Bel-air (bay Wing), 48 Bel-air Ave, Telegraph Bay",南區,貝沙灣1 & 2期,薄扶林貝沙灣道48號,南区,贝沙湾1 & 2期,薄扶林贝沙湾道48号,0,2,0,0,0,0,0,0,0,-,-
