Station_EN,Station_TC,Station_SC,Brand_EN,Brand_TC,Brand_SC,All_Oil_Types_EN,All_Oil_Types_TC,All_Oil_Types_SC,Latitude,Longitude
Ma On Shan Dedicated LPG Station,馬鞍山專用石油氣站,马鞍山专用石油气站,Shell,香港蜆殼有限公司,香港蚬壳有限公司,Auto LPG - Dedicated Site,車用石油氣 - 專用加氣站,车用石油气 - 专用加气站,22.415124,114.226522
Yuen Long Dedicated LPG Station,元朗專用石油氣站,元朗专用石油气站,Shell,香港蜆殼有限公司,香港蚬壳有限公司,Auto LPG - Dedicated Site,車用石油氣 - 專用加氣站,车用石油气 - 专用加气站,22.45195,114.03068
Mei Foo LPG Station,美孚石油氣站,美孚石油气站,Sinopec,中國石油化工股份有限公司,中国石油化工股份有限公司,Auto LPG - Dedicated Site,車用石油氣 - 專用加氣站,车用石油气 - 专用加气站,22.33456155347583,114.14580857095751
Tuen Mun Dedicated LPG Station,屯門專用石油氣站,屯门专用石油气站,Shell,香港蜆殼有限公司,香港蚬壳有限公司,Auto LPG - Dedicated Site,車用石油氣 - 專用加氣站,车用石油气 - 专用加气站,22.39032308009465,113.96879174903111
Wan Chai Dedicated LPG Station,灣仔專用石油氣站,湾仔专用石油气站,Shell,香港蜆殼有限公司,香港蚬壳有限公司,Auto LPG - Dedicated Site,車用石油氣 - 專用加氣站,车用石油气 - 专用加气站,22.281782421121594,114.17882685489825
Sheung Wan Dedicated LPG Station,上環專用石油氣站,上环专用石油气站,Shell,香港蜆殼有限公司,香港蚬壳有限公司,Auto LPG - Dedicated Site,車用石油氣 - 專用加氣站,车用石油气 - 专用加气站,22.288332,114.136636
West Kowloon LPG Station,西九龍石油氣站,西九龙石油气站,Sinopec,中國石油化工股份有限公司,中国石油化工股份有限公司,Auto LPG - Dedicated Site,車用石油氣 - 專用加氣站,车用石油气 - 专用加气站,22.311418676805964,114.16583935838233
Chai Wan LPG Station,柴灣石油氣站,柴湾石油气站,Sinopec,中國石油化工股份有限公司,中国石油化工股份有限公司,Auto LPG - Dedicated Site,車用石油氣 - 專用加氣站,车用石油气 - 专用加气站,22.267577516849425,114.24560118583113
Airport (Cargo Terminal) Gas and Charging Station,Shell機場（貨運中心）油電站,Shell机场（货运中心）油电站,Shell,香港蜆殼有限公司,香港蚬壳有限公司,Diesel,柴油,柴油,22.292737178160028,113.92858474198545
Tai Po Road Station,大埔道站,大埔道站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel / Auto LPG,無鉛汽油 / 特級無鉛汽油 / 柴油 / 車用石油氣,无铅汽油 / 特级无铅汽油 / 柴油 / 车用石油气,22.3386057466641,114.163457080721
